name,cuisine,category,location,city,price,lat,lng,rating
Jeju Noodle Bar,Korean,Lunch/Dinner|Date Night|Noodles,Greenwich Village,New York City,3,40.7329889,-74.0073417,
Mala Project,Chinese,Lunch/Dinner,East Village|Midtown,New York City,2,40.727125,-73.9853556,
Mala Project,Chinese,Lunch/Dinner,East Village|Midtown,New York City,2,40.7569293,-73.9805621,
Sunday in Brooklyn,American,Brunch|Lunch/Dinner|Drinks,Williamsburg,New York City,2,40.7141992,-73.9653462,
The Ready Rooftop,Bar,Bar|Drinks|Rooftop,East Village,New York City,2,40.731521,-73.989466,
Rule of Thirds,Japanese,Lunch/Dinner,Greenpoint,New York City,2,40.7247503,-73.95503,
El Diablito Taqueria,Mexican,Quick Bites,East Village,New York City,1,40.7250658,-73.9891632,
12 Chairs,Mediterranean,Brunch|Lunch/Dinner,South Village|Williamsburg,New York City,2,40.7275314,-74.002288,
12 Chairs,Mediterranean,Brunch|Lunch/Dinner,South Village|Williamsburg,New York City,2,40.7144908,-73.9652118,
Kimika,Japanese|Italian,Lunch/Dinner|Drinks|Date Night,Nolita,New York City,3,40.7205499,-73.9951805,
Tacombi,Mexican,Lunch/Dinner|Drinks|Date Night,Nolita|Greenwich Village|Nomad|FiDi,New York City,2,40.7046445,-74.0118676,
Magnolia Bakery,Bakery,Desserts,Greenwich Village|Midtown|Midtown East,New York City,2,40.7525713,-73.9767735,
Magnolia Bakery,Bakery,Desserts,Greenwich Village|Midtown|Midtown East,New York City,2,40.7581533,-73.9831181,
Sea Wolf,Seafood,Lunch/Dinner|Drinks,Williamsburg|Bushwick,New York City,2,40.7099023,-73.9694234,
Sea Wolf,Seafood,Lunch/Dinner|Drinks,Williamsburg|Bushwick,New York City,2,40.7066974,-73.9256219,
Ruby's Cafe,Australian,Lunch/Dinner|Brunch,Nolita|East Village|Kips Bay,New York City,2,40.7436223,-73.9798881,
The Butcher's Daughter,American,Brunch,Nolita|Greenwich Village|Williamsburg,New York City,2,40.736362,-74.006155,
The Butcher's Daughter,American,Brunch,Nolita|Greenwich Village|Williamsburg,New York City,2,40.7149216,-73.9584941,
Dim Sum Palace,Dim Sum|Chinese,Brunch|Lunch/Dinner|To Share,East Village|Midtown|Hell's Kitchen|Koreatown,New York City,2,40.7485991,-73.9867614,
Dim Sum Palace,Dim Sum|Chinese,Brunch|Lunch/Dinner|To Share,East Village|Midtown|Hell's Kitchen|Koreatown,New York City,2,40.7601962,-73.9893445,
Dim Sum Palace,Dim Sum|Chinese,Brunch|Lunch/Dinner|To Share,East Village|Midtown|Hell's Kitchen|Koreatown,New York City,2,40.762231,-73.9769246,
Egg Shop,American,Brunch,Nolita|Williamsburg,New York City,2,40.7188239,-73.9581152,
Boqueria,Spanish,Brunch|To Share,Soho|Midtown|Upper East Side,New York City,3,40.7554321,-73.9900314,
Boqueria,Spanish,Brunch|To Share,Soho|Midtown|Upper East Side,New York City,3,40.7715096,-73.956073,
Souvlaki GR,Mediterranean,Lunch/Dinner,LES|Midtown,New York City,2,40.7645929,-73.9801477,
